NO.,hostile_offline,hostile_online,aggression
1,0.055555556,0,0.083333333
2,0,0,0.055555556
3,0.333333333,0.3,0.791666667
4,0.888888889,0.9,0.847222222
5,0,0,0.125
6,0,0,0.180555556
7,0,0,0.277777778
8,0.055555556,0,0.319444444
9,0.055555556,0,0.597222222
10,0,0,0.402777778
11,0,0,0.5
12,0,0,0.25
13,0.055555556,0,0.263888889
14,0.111111111,0.066666667,0.5
15,0,0,0.236111111
16,0,0,0.458333333
17,0,0,0.041666667
18,0,0,0.388888889
19,0,0,0.208333333
20,0,0,0.305555556
21,0.055555556,0,0.5
22,0.055555556,0.033333333,0.375
23,0.055555556,0,0.305555556
24,0,0,0.166666667
25,0,0.033333333,0.291666667
26,0,0,0.277777778
27,0.444444444,0.566666667,0.416666667
28,0.055555556,0.066666667,0.319444444
29,0,0,0.166666667
30,0.166666667,0.1,0.305555556
31,0,0,0.194444444
32,0,0,0.388888889
33,0.055555556,0.033333333,0.555555556
34,0.055555556,0.2,0.305555556
35,0,0,0.180555556
36,0,0,0.277777778
37,0.277777778,0.266666667,0.486111111
38,0,0,0.194444444
39,0,0,0.180555556
40,0,0,0.305555556
41,0,0,0.430555556
42,0.166666667,0.2,0.625
43,0,0,0.458333333
44,0,0,0.541666667
45,0,0,0.180555556
46,0,0,0.361111111
47,0,0,0.083333333
48,0.833333333,0.833333333,0.25
49,0,0.066666667,0.263888889
50,0,0,0.208333333
51,0.055555556,0,0.263888889
52,0,0,0.208333333
53,0.055555556,0.033333333,0.291666667
54,0.666666667,0.433333333,0.708333333
55,0.055555556,0.1,0.375
56,0,0,0.25
57,0,0,0.472222222
58,0,0,0.111111111
59,0,0,0.5
60,0.777777778,0.866666667,0.888888889
61,0,0,0.125
62,0.166666667,0.133333333,0.444444444
63,0.055555556,0.033333333,0.569444444
64,0.055555556,0.166666667,0.375
65,0.055555556,0,0.180555556
66,0.166666667,0.166666667,0.916666667
67,0,0,0.180555556
68,0.111111111,0,0.361111111
69,0.666666667,0.633333333,0.902777778
70,0,0,0.111111111
71,0.055555556,0.033333333,0.597222222
72,0,0,0.263888889
73,0,0,0.166666667
74,0,0,0.291666667
75,0,0,0.125
76,0.055555556,0,0.513888889
77,0,0,0.152777778
78,0.055555556,0.066666667,0.305555556
79,1,0.866666667,0.680555556
80,0,0,0.347222222
81,0,0,0.375
82,0,0,0.166666667
83,0,0.033333333,0.472222222
84,0,0,0.319444444
85,0,0.033333333,0.611111111
86,0,0.1,0.513888889
87,0,0,0.125
88,0,0.033333333,0.361111111
89,0,0,0.222222222
90,0,0,0.236111111
91,0,0,0.180555556
92,0,0,0.5
93,0,0,0.555555556
94,0,0,0.277777778
95,0,0,0.430555556
96,0,0,0.125
97,0.166666667,0.166666667,0.5
98,0,0,0.513888889
99,0,0,0.166666667
100,0.055555556,0.033333333,0.180555556
101,0,0,0.263888889
102,0,0,0.611111111
103,0,0,0.430555556
104,0.055555556,0,0.527777778
105,0.722222222,0.633333333,0.763888889
106,0,0,0.222222222
107,0,0,0.375
108,0,0,0.097222222
109,0.111111111,0.066666667,0.472222222
110,0.111111111,0.1,0.444444444
111,0,0,0.097222222
112,0,0,0.430555556
113,0,0,0.444444444
114,0,0,0.236111111
115,0,0,0.194444444
116,0,0,0.805555556
117,0,0,0.083333333
118,0,0,0.208333333
119,0,0,0.75
120,0.055555556,0.033333333,0.458333333
121,0,0,0.333333333
122,0.111111111,0.066666667,0.277777778
123,0.055555556,0.066666667,0.333333333
124,0.055555556,0.033333333,0.486111111
125,0.111111111,0.066666667,0.430555556
126,0.055555556,0,0.388888889
127,0.055555556,0,0.416666667
128,0.166666667,0.4,0.680555556
129,0,0,0.097222222
130,0.111111111,0,0.180555556
131,0,0,0.666666667
132,0,0.033333333,0.347222222
133,0.055555556,0.033333333,0.402777778
134,0,0,0.138888889
135,0,0,0.666666667
136,0,0,0.305555556
137,0,0,0.097222222
138,0,0,0.333333333
139,0,0,0.5
140,0,0,0.111111111
141,0,0,0.5
142,0,0,0.319444444
143,0.444444444,0.333333333,0.333333333
144,0,0,0.291666667
145,0,0,0.194444444
146,0,0,0.263888889
147,0.166666667,0.166666667,0.416666667
148,0.055555556,0.033333333,0.347222222
149,0.111111111,0.066666667,0.291666667
150,0,0,0.555555556
151,0.055555556,0,0.319444444
152,0,0,0.319444444
153,0,0,0.111111111
154,0,0,0.5
155,0,0,0.222222222
156,0,0,0.5
157,0.222222222,0.1,0.722222222
158,0,0,0.152777778
159,0,0,0.361111111
160,0,0,0.194444444
161,0.166666667,0.066666667,0.361111111
162,0.055555556,0.033333333,0.277777778
163,0.055555556,0,0.333333333
164,0.055555556,0,0.222222222
165,0,0,0.388888889
166,0,0,0.152777778
167,0.055555556,0,0.430555556
168,0,0,0.166666667
169,0.111111111,0.066666667,0.597222222
170,0.111111111,0.133333333,0.333333333
171,0,0,0.361111111
172,0,0.033333333,0.486111111
173,0,0,0.180555556
174,0.166666667,0.233333333,0.458333333
175,0.055555556,0.066666667,0.222222222
176,0,0.033333333,0.361111111
177,0,0,0.152777778
178,0.055555556,0.066666667,0.347222222
179,1,1,0.916666667
180,0.055555556,0,0.222222222
181,0,0,0.486111111
182,0,0,0.541666667
183,0,0.033333333,0.194444444
184,0,0.133333333,0.388888889
185,0,0.033333333,0.222222222
186,0.055555556,0,0.361111111
187,0,0,0.291666667
188,0,0,0.305555556
189,0,0,0.430555556
190,0.055555556,0.033333333,0.263888889
191,0,0,0.097222222
192,0,0.033333333,0.458333333
193,0,0,0.5
194,0.055555556,0,0.291666667
195,0,0,0.222222222
196,0,0,0.222222222
197,0,0,0.194444444
198,0.166666667,0,0.208333333
199,0,0.066666667,0.138888889
200,0,0,0.416666667
201,0.055555556,0.033333333,0.291666667
202,0.166666667,0.033333333,0.472222222
203,0.055555556,0,0.319444444
204,0,0,0.361111111
205,0,0,0.583333333
206,0,0,0.333333333
207,0,0.066666667,0.513888889
208,0.722222222,0.933333333,0.722222222
209,0,0.266666667,0.263888889
210,0,0.066666667,0.347222222
211,0.055555556,0.033333333,0.569444444
212,0,0,0.166666667
213,0,0,0.347222222
214,0,0,0.111111111
215,0,0,0.236111111
216,0,0,0.083333333
217,0,0,0.305555556
218,0.166666667,0.166666667,0.166666667
219,0,0,0.222222222
220,0,0,0.194444444
221,0,0.133333333,0.361111111
222,0.055555556,0,0.194444444
223,0,0,0.694444444
224,0.055555556,0.066666667,0.444444444
225,0,0,0.166666667
226,0,0,0.472222222
227,0,0,0.25
228,0,0,0.277777778
229,0,0,0.472222222
230,0,0,0.361111111
231,0,0,0.152777778
232,0.166666667,0,0.333333333
233,0,0.033333333,0.541666667
234,0,0,0.361111111
235,0.055555556,0,0.430555556
236,0,0,0.277777778
237,0,0,0.291666667
238,0.111111111,0.133333333,0.5
239,0.055555556,0.033333333,0.388888889
240,0,0,0.013888889
241,0,0,0.347222222
242,0,0,0.152777778
243,0.055555556,0.033333333,0.125
244,0,0.333333333,0.541666667
245,0,0.033333333,0.333333333
246,0.055555556,0.033333333,0.333333333
247,0.055555556,0.1,0.652777778
248,0.5,0.4,0.472222222
249,0,0,0.763888889
250,0,0,0.472222222
251,0,0,0.180555556
252,0.055555556,0.033333333,0.25
253,0,0,0.125
254,0,0,0.416666667
255,0.111111111,0.1,0.375
256,0,0.266666667,0.444444444
257,0.111111111,0.066666667,0.597222222
258,0,0,0.388888889
259,0,0,0.263888889
260,0.111111111,0.066666667,0.138888889
261,0.055555556,0.033333333,0.625
262,0.055555556,0.033333333,0.402777778
263,0,0,0.388888889
264,0,0,0.222222222
265,0,0,0.638888889
266,0.055555556,0.033333333,0.333333333
267,0,0.066666667,0.305555556
268,0.111111111,0.1,0.388888889
269,0,0,0.569444444
270,0,0.066666667,0.152777778
271,0,0,0.388888889
272,0,0.033333333,0.319444444
273,0,0,0.388888889
274,0,0,0.333333333
275,0,0,0.111111111
276,0,0,0.361111111
277,0,0,0.194444444
278,0,0,0.472222222
279,0,0,0.069444444
280,0.055555556,0,0.305555556
281,0,0,0.083333333
282,0,0,0.277777778
283,0,0.2,0.541666667
284,0.055555556,0.033333333,0.458333333
285,0,0,0.222222222
286,0,0,0.472222222
287,0.111111111,0,0.319444444
288,0,0,0.152777778
289,0.055555556,0.033333333,0.625
290,0,0,0.444444444
291,0,0,0.597222222
292,0,0.066666667,0.430555556
293,0,0.066666667,0.638888889
294,0,0,0.111111111
295,0,0,0.291666667
296,0,0,0.208333333
297,0,0.033333333,0.083333333
298,0,0,0.194444444
299,0,0,0.444444444
300,0.111111111,0.133333333,0.597222222
301,0.5,0.5,0.916666667
302,0.055555556,0.166666667,0.194444444
303,0,0.033333333,0.305555556
304,0,0,0.125
305,0,0,0.208333333
306,0,0,0.083333333
307,0,0,0.444444444
308,0,0,0.305555556
309,0.111111111,0,0.569444444
310,0,0,0.347222222
311,0,0,0.416666667
312,0,0,0.138888889
313,0.055555556,0,0.208333333
314,0.666666667,0.666666667,0.722222222
315,0,0,0.222222222
316,0,0,0.541666667
317,0,0,0.75
318,0,0,0.222222222
319,0,0,0.083333333
320,0.055555556,0.133333333,0.402777778
321,0.333333333,0.4,0.486111111
322,0.055555556,0.033333333,0.166666667
323,0,0.033333333,0.319444444
324,0.166666667,0,0.152777778
325,0,0.033333333,0.222222222
326,0.222222222,0,0.416666667
327,0,0.066666667,0.319444444
328,0.277777778,0.2,0.402777778
329,0,0,0.680555556
330,0,0,0.083333333
331,0.5,0.5,0.5
332,0,0,0.305555556
333,0,0,0.166666667
334,0,0,0.208333333
335,0.055555556,0,0.291666667
336,0,0,0.097222222
337,0,0.033333333,0.347222222
338,0,0,0.333333333
339,0.055555556,0.033333333,0.583333333
340,0.166666667,0.1,0.444444444
341,0,0,0.097222222
342,0,0,0.319444444
343,0,0,0.388888889
344,0.055555556,0.033333333,0.222222222
345,0.111111111,0.033333333,0.222222222
346,0,0,0.152777778
347,0,0,0.319444444
348,0,0,0.25
349,0.055555556,0,0.263888889
350,0,0,0.180555556
351,0,0,0.458333333
352,0,0,0.194444444
353,0.111111111,0.1,0.347222222
354,0.111111111,0.033333333,0.402777778
355,0,0,0.125
356,0.333333333,0.2,0.486111111
357,0,0,0.25
358,0,0,0.402777778
359,0.111111111,0.033333333,0.486111111
360,0,0.1,0.083333333
361,0.388888889,0.3,0.458333333
362,0,0.033333333,0.041666667
363,0.555555556,0.4,0.375
364,0,0,0.513888889
365,0,0,0.430555556
366,0,0,0.291666667
367,0.111111111,0.133333333,0.388888889
368,0.5,0.566666667,0.611111111
369,0,0,0.638888889
370,0,0,0.458333333
371,0.055555556,0,0.305555556
372,0,0,0.472222222
373,0,0,0.444444444
374,0,0,0.111111111
375,0,0,0.236111111
376,0.055555556,0,0.527777778
377,0,0,0.375
378,0.055555556,0,0.333333333
379,0.055555556,0,0.375
380,0.166666667,0.166666667,0.388888889
381,0.055555556,0.033333333,0.388888889
382,1,1,0.916666667
383,0.055555556,0.033333333,0.222222222
384,0,0.033333333,0.444444444
385,0,0,0.083333333
386,0,0,0.180555556
387,0,0,0.513888889
388,0.333333333,0.1,0.638888889
389,0,0,0.180555556
390,0.388888889,0.433333333,0.5
391,0,0,0.430555556
392,0,0,0.125
393,0,0,0.805555556
394,0,0,0.277777778
395,0,0,0.430555556
396,0.055555556,0,0.166666667
397,0.166666667,0.066666667,0.486111111
398,0,0,0.638888889
399,0.111111111,0.066666667,0.736111111
400,0,0,0.305555556
401,0.166666667,0.3,0.444444444
402,0.111111111,0,0.444444444
403,0,0,0.194444444
404,0,0,0.152777778
405,0,0,0.611111111
406,0,0,0.5
407,0.055555556,0,0.25
408,0,0,0.041666667
409,0,0,0.402777778
410,0,0.1,0.416666667
411,0,0,0.305555556
412,0,0,0.236111111
413,0,0,0.180555556
414,0,0,0.319444444
415,0.333333333,0.2,0.638888889
416,0,0,0.305555556
417,0.055555556,0.033333333,0.416666667
418,0,0.033333333,0.611111111
419,0,0,0.166666667
420,0,0.066666667,0.208333333
421,0,0,0.125
422,0,0.066666667,0.777777778
423,0.111111111,0.033333333,0.361111111
424,0,0,0.277777778
425,0.277777778,0.166666667,0.569444444
426,0,0,0.194444444
427,0.055555556,0.133333333,0.097222222
428,0.5,0.233333333,0.152777778
429,0,0.566666667,0.694444444
430,0.055555556,0.033333333,0.375
431,0,0,0.208333333
432,0.055555556,0.033333333,0.472222222
433,0,0,0.305555556
434,0,0,0.083333333
435,0,0,0.194444444
436,0,0,0.25
437,0.111111111,0,0.416666667
438,0.055555556,0,0.097222222
439,0,0,0.416666667
440,0.055555556,0,0.277777778
441,0,0,0.541666667
442,0,0,0.291666667
443,0.111111111,0.033333333,0.347222222
444,0,0,0.5
445,0,0,0.444444444
446,0,0,0.652777778
447,0.277777778,0.133333333,0.625
448,0.055555556,0.033333333,0.319444444
449,0,0,0.361111111
450,0,0,0.361111111
451,0,0,0.166666667
452,0,0,0.388888889
453,0.333333333,0.266666667,0.5
454,0,0,0.305555556
455,0.111111111,0.033333333,0.430555556
456,0.555555556,0.533333333,0.569444444
457,0.055555556,0,0.291666667
458,0,0,0.236111111
459,0,0.066666667,0.305555556
460,0,0,0.361111111
461,0,0,0.416666667
462,0,0,0.416666667
463,0.055555556,0,0.458333333
464,0.277777778,0.3,0.472222222
465,0,0,0.513888889
466,0,0,0.388888889
467,0.111111111,0.1,0.541666667
468,0,0,0.138888889
469,0.333333333,0.333333333,0.5
470,0,0,0.083333333
471,0,0,0.222222222
472,0,0.033333333,0.319444444
473,0.055555556,0.066666667,0.597222222
474,0,0,0.25
475,0,0.033333333,0.25
476,0,0,0.25
477,0.222222222,0.3,0.541666667
478,0,0,0.402777778
479,0.388888889,0.666666667,0.513888889
480,0,0,0.277777778
481,0,0,0.444444444
482,0,0,0.180555556
483,0,0,0.166666667
484,0,0.1,0.416666667
485,0.111111111,0,0.208333333
486,0,0,0.722222222
487,0.333333333,0.333333333,0.5
488,0,0.066666667,0.208333333
489,0,0,0.638888889
490,0,0.033333333,0.180555556
491,0,0,0.305555556
492,0,0,0.5
493,0,0,0.277777778
494,0.555555556,0.633333333,0.916666667
495,0,0,0.111111111
496,0,0,0.319444444
497,0,0,0.194444444
498,0.111111111,0,0.555555556
499,0,0,0.111111111
500,0,0,0.708333333
501,0.055555556,0,0.361111111
502,0,0,0.402777778
503,0,0,0.458333333
504,0,0,0.375
505,0.166666667,0.166666667,0.777777778
506,0,0.033333333,0.319444444
507,0,0,0.152777778
508,0,0,0.625
509,0.055555556,0,0.097222222
510,0,0,0.25
511,0,0,0.486111111
512,0,0,0.041666667
513,0.055555556,0.133333333,0.527777778
514,0,0,0.777777778
515,0,0,0.416666667
516,0.444444444,0.1,0.680555556
517,0,0.033333333,0.375
518,0.055555556,0,0.361111111
519,0,0,0.152777778
520,0,0,0.680555556
521,0,0.033333333,0.472222222
522,0.055555556,0.033333333,0.569444444
523,0.444444444,0,0.527777778
524,0,0,0.5
525,0.055555556,0,0.263888889
526,0,0,0.916666667
527,0,0,0.069444444
528,0,0.033333333,0.319444444
529,0,0,0.083333333
530,0,0,0.25
531,0,0,0.194444444
532,0.111111111,0.1,0.402777778
533,0.166666667,0.166666667,0.291666667
534,0,0,0.388888889
535,0,0,0.25
536,0,0,0.416666667
537,0.055555556,0,0.194444444
538,0.166666667,0.266666667,0.361111111
539,0,0,0.055555556
540,0,0,0.708333333
541,0,0,0.388888889
542,0,0,0.625
543,0.055555556,0.2,0.513888889
544,0,0,0.555555556
545,0,0.033333333,0.486111111
546,0,0,0.222222222
547,0,0,0.166666667
548,0,0,0.208333333
549,0,0,0.277777778
550,0,0,0.166666667
551,0,0,0.277777778
552,0,0,0.541666667
553,0,0.666666667,0.388888889
554,0,0,0.125
555,0.222222222,0.1,0.736111111
556,0,0,0.305555556
557,0.055555556,0.033333333,0.416666667
558,1,1,0.916666667
559,0,0,0.861111111
560,0,0,0.111111111
561,0,0.033333333,0.583333333
562,0.055555556,0.033333333,0.222222222
563,0.166666667,0.033333333,0.375
564,0,0.066666667,0.5
565,0,0,0.041666667
566,0,0.033333333,0.305555556
567,0,0,0.361111111
568,0,0,0.291666667
569,0,0,0.277777778
570,0.055555556,0,0.152777778
571,0,0,0.291666667
572,0,0,0.166666667
573,0,0,0.263888889
574,0,0,0.375
575,0.666666667,0.566666667,0.680555556
576,0,0,0.166666667
577,0,0,0.444444444
578,0.055555556,0,0.055555556
579,0,0.066666667,0.513888889
580,0,0,0.333333333
581,0,0,0.5
582,0,0.6,0.444444444
583,0,0,0.069444444
584,0,0,0.097222222
585,0,0,0.305555556
586,0,0,0.486111111
587,0,0,0.458333333
588,0,0,0.763888889
589,0,0,0.027777778
590,0,0.033333333,0.111111111
591,0,0,0.680555556
592,0,0,0.583333333
593,0,0,0.208333333
594,0,0,0.611111111
595,0,0,0.25
596,0.222222222,0.166666667,0.5
597,0.111111111,0.066666667,0.583333333
598,0.055555556,0,0.194444444
599,0,0,0.305555556
600,0,0,0.361111111
601,0.055555556,0.033333333,0.416666667
602,0.5,0.366666667,0.597222222
603,0,0,0.25
604,0.055555556,0.033333333,0.222222222
605,0.111111111,0,0.541666667
606,0,0,0.25
607,0,0,0.263888889
608,0,0,0.166666667
609,0.055555556,0,0.111111111
610,0,0.066666667,0.291666667
611,0,0,0.083333333
612,0,0,0.277777778
613,0,0,0.555555556
614,0.111111111,0.066666667,0.444444444
615,0,0,0.583333333
616,0,0,0.25
617,0,0,0.236111111
618,0,0,0.458333333
619,0,0,0.097222222
620,0,0.033333333,0.430555556
621,0,0,0.152777778
622,0,0,0.138888889
623,0,0,0.333333333
624,0,0.066666667,0.277777778
625,0,0,0.277777778
626,0,0,0.083333333
627,0.111111111,0.066666667,0.180555556
628,0.055555556,0,0.388888889
629,0.055555556,0.066666667,0.402777778
630,0,0,0.305555556
631,0,0,0.263888889
632,0.055555556,0.033333333,0.388888889
633,0.055555556,0,0.75
634,0,0,0.236111111
635,0.388888889,0.2,0.291666667
636,0.333333333,0.266666667,0.541666667
637,0.055555556,0,0.333333333
638,0.055555556,0,0.236111111
639,0.055555556,0.133333333,0.541666667
640,0,0,0.430555556
641,0,0,0.263888889
642,0,0,0.916666667
643,0,0,0.513888889
644,0.055555556,0,0.263888889
645,0,0.033333333,0.444444444
646,0.333333333,0.433333333,0.361111111
647,0,0,0.277777778
648,0,0,0.111111111
649,0,0,0.263888889
650,0,0,0.263888889
651,0,0.033333333,0.277777778
652,0.166666667,0.166666667,0.5
653,0,0,0.680555556
654,0,0,0.569444444
655,0,0,0.625
656,0.388888889,0,0.25
657,0.111111111,0,0.347222222
658,0,0,0.25
659,0.111111111,0.033333333,0.388888889
660,0,0.033333333,0.625
661,0,0,0.333333333
662,0,0,0.555555556
663,0.055555556,0,0.291666667
664,0,0,0.152777778
665,0,0,0.152777778
666,0,0,0.5
667,0,0,0.375
668,0.166666667,0.166666667,0.916666667
669,0,0,0.5
670,0,0,0.222222222
671,0,0,0.388888889
672,0.166666667,0.266666667,0.416666667
673,0,0,0.25
674,0,0.1,0.388888889
675,0.111111111,0.066666667,0.319444444
676,0,0,0.138888889
677,0,0,0.097222222
678,0.111111111,0.066666667,0.430555556
679,0,0,0.291666667
680,0.055555556,0.033333333,0.444444444
681,0,0,0.388888889
682,0.111111111,0.033333333,0.236111111
683,0.055555556,0.033333333,0.194444444
684,0,0.066666667,0.736111111
685,0,0,0.25
686,0.222222222,0,0.458333333
687,0.388888889,0.466666667,0.583333333
688,0,0,0.305555556
689,0.111111111,0,0.444444444
690,0,0,0
691,0,0.033333333,0.208333333
692,0,0,0.402777778
693,0,0,0.305555556
694,0,0,0.194444444
695,0,0,0.25
696,0.055555556,0,0.263888889
697,0,0.033333333,0.236111111
698,0,0.033333333,0.486111111
699,0,0.066666667,0.361111111
700,0.055555556,0.033333333,0.222222222
701,0,0.033333333,0.166666667
702,0,0,0.25
703,0.333333333,0.333333333,0.5
704,0,0,0.402777778
705,0,0,0.375
706,0,0,0.194444444
707,0,0,0.333333333
708,0,0,0.5
709,0,0,0.388888889
710,0,0.066666667,0.25
711,0,0,0.416666667
712,0,0,0.527777778
713,0.055555556,0.033333333,0.472222222
714,0.111111111,0.066666667,0.180555556
715,0,0,0.138888889
716,0.111111111,0,0.166666667
717,0.111111111,0.066666667,0.291666667
718,0,0.033333333,0.361111111
719,0,0,0.555555556
720,0.055555556,0.033333333,0.263888889
721,0,0,0.333333333
722,0.166666667,0.033333333,0.569444444
723,0,0,0.277777778
724,0,0,0.277777778
725,0,0,0.138888889
726,0,0.033333333,0.25
727,0,0,0.25
728,0,0.133333333,0.194444444
729,0,0,0.208333333
730,0,0.066666667,0.333333333
731,0.055555556,0,0.5
732,0,0,0.125
733,0,0,0.444444444
734,0,0.033333333,0.180555556
735,0,0,0.25
736,0.055555556,0.033333333,0.361111111
737,0.055555556,0,0.138888889
738,0,0.133333333,0.263888889
739,0.055555556,0,0.347222222
740,0,0,0.513888889
741,0.055555556,0.066666667,0.5
742,0,0,0.222222222
743,0,0,0.236111111
744,0,0,0.055555556
